type,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,diff_temperature_air_process,power_W,wear_x_torque_minNm
L,297.5,308.6,1793,26.7,70,11.100000000000023,5013.3,1869.0
L,300.7,310.5,1536,47.4,192,9.800000000000011,7624.3,9100.8
L,297.2,308.4,1460,42.1,41,11.199999999999989,6436.7,1726.1000000000001
L,299.4,309.1,1670,35.9,68,9.700000000000045,6278.3,2441.2
L,304.1,313.1,1550,30.9,9,9.0,5015.6,278.09999999999997
L,298.2,308.4,1477,49.9,72,10.199999999999989,7718.1,3592.7999999999997
L,299.3,309.0,1422,47.3,25,9.699999999999989,7043.5,1182.5
L,301.3,310.5,1390,45.8,63,9.199999999999989,6666.7,2885.3999999999996
L,301.5,310.9,1891,23.2,122,9.399999999999977,4594.2,2830.4
L,303.5,311.9,1493,38.7,14,8.399999999999977,6050.6,541.8000000000001
L,301.2,311.4,1757,28.0,6,10.199999999999989,5151.8,168.0
M,297.1,308.4,1502,37.3,181,11.299999999999955,5866.9,6751.299999999999
L,298.4,308.7,1588,35.0,99,10.300000000000011,5820.3,3465.0
L,302.0,311.2,1434,44.9,15,9.199999999999989,6742.5,673.5
M,300.7,311.0,1334,53.9,150,10.300000000000011,7529.6,8085.0
L,301.7,310.5,1523,34.7,181,8.800000000000011,5534.2,6280.700000000001
L,298.4,307.9,1544,35.9,132,9.5,5804.6,4738.8
L,300.8,311.1,1509,33.4,172,10.300000000000011,5277.9,5744.8
H,298.5,308.7,1450,43.9,28,10.199999999999989,6665.9,1229.2
L,302.5,311.9,1437,46.7,65,9.399999999999977,7027.5,3035.5
L,300.7,309.6,1500,44.1,122,8.900000000000034,6927.2,5380.2
L,300.8,311.9,1498,39.3,23,11.099999999999966,6165.0,903.9
L,298.3,309.4,1468,46.2,10,11.099999999999966,7102.3,462.0
L,302.7,310.5,1563,35.0,8,7.800000000000011,5728.7,280.0
M,300.5,311.3,1507,43.4,41,10.800000000000011,6849.1,1779.3999999999999
M,299.1,308.7,2008,20.3,178,9.599999999999966,4268.6,3613.4
L,297.3,308.4,1488,37.4,69,11.099999999999966,5827.8,2580.6
L,298.5,308.4,1513,33.6,172,9.899999999999977,5323.6,5779.2
L,299.3,309.2,1465,41.5,127,9.899999999999977,6366.7,5270.5
M,300.7,309.6,1439,43.0,61,8.900000000000034,6479.7,2623.0
L,297.9,308.9,1566,41.9,50,11.0,6871.2,2095.0
M,297.9,309.0,2456,13.9,82,11.100000000000023,3575.0,1139.8
L,297.6,308.3,1410,47.0,191,10.699999999999989,6939.8,8977.0
L,296.5,307.6,1541,38.5,98,11.100000000000023,6212.9,3773.0
L,302.3,311.2,1549,40.6,66,8.899999999999977,6585.8,2679.6
M,304.2,313.5,1390,47.8,83,9.300000000000011,6957.8,3967.3999999999996
H,298.9,308.4,1449,42.4,149,9.5,6433.7,6317.599999999999
M,302.3,311.8,1355,50.1,104,9.5,7109.0,5210.400000000001
H,300.8,312.1,1527,35.1,164,11.300000000000011,5612.7,5756.400000000001
H,303.0,312.5,1698,30.0,89,9.5,5334.4,2670.0
H,301.8,311.2,1451,39.4,70,9.399999999999977,5986.8,2758.0
M,302.4,311.1,1366,54.4,0,8.700000000000045,7781.8,0.0
H,297.3,308.8,1564,38.0,191,11.5,6223.7,7258.0
L,302.1,310.8,1596,37.1,43,8.699999999999989,6200.6,1595.3
L,300.2,311.5,1639,31.1,31,11.300000000000011,5337.9,964.1
L,300.5,309.8,1445,43.9,164,9.300000000000011,6643.0,7199.599999999999
