type,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,failure_type,diff_temperature_air_process,power_W,wear_x_torque_minNm
M,298.1,308.6,1551,42.8,0,No Failure,10.5,6951.6,0.0
L,298.2,308.7,1408,46.3,3,No Failure,10.5,6826.7,138.89999999999998
L,298.2,308.7,1408,40.0,9,No Failure,10.5,5897.8,360.0
M,298.1,308.6,1425,41.9,11,No Failure,10.5,6252.6,460.9
L,298.1,308.6,1558,42.4,14,No Failure,10.5,6917.7,593.6
L,298.1,308.6,1527,40.2,16,No Failure,10.5,6428.3,643.2
M,298.3,308.7,1667,28.6,18,No Failure,10.399999999999977,4992.6,514.8000000000001
H,298.4,308.9,1782,23.9,24,No Failure,10.5,4460.0,573.5999999999999
H,298.6,309.1,1423,44.3,29,No Failure,10.5,6601.4,1284.6999999999998
L,298.6,309.2,1542,48.4,42,No Failure,10.599999999999966,7815.5,2032.8
M,298.6,309.2,1311,46.6,44,No Failure,10.599999999999966,6397.6,2050.4
M,298.7,309.2,1410,45.6,47,No Failure,10.5,6733.1,2143.2000000000003
H,298.8,309.2,1306,54.5,50,No Failure,10.399999999999977,7453.6,2725.0
L,298.8,309.3,1450,44.8,63,No Failure,10.5,6802.6,2822.3999999999996
M,299.0,309.4,1561,37.3,70,No Failure,10.399999999999977,6097.3,2611.0
L,299.0,309.5,1861,23.3,73,No Failure,10.5,4540.8,1700.9
L,299.1,309.5,1512,39.0,75,No Failure,10.399999999999977,6175.1,2925.0
H,299.1,309.4,1811,24.6,77,No Failure,10.299999999999955,4665.3,1894.2
L,299.1,309.4,1439,44.2,82,No Failure,10.299999999999955,6660.6,3624.4
L,299.0,309.4,1693,30.1,84,No Failure,10.399999999999977,5336.4,2528.4
M,299.1,309.5,1339,48.2,86,No Failure,10.399999999999977,6758.6,4145.2
L,299.0,309.4,1798,25.5,89,No Failure,10.399999999999977,4801.3,2269.5
L,299.0,309.4,1419,48.3,91,No Failure,10.399999999999977,7177.3,4395.3
L,298.9,309.3,1665,32.5,93,No Failure,10.400000000000034,5666.6,3022.5
M,298.8,309.2,1452,48.6,98,No Failure,10.399999999999977,7389.8,4762.8
M,298.9,309.2,1581,36.7,101,No Failure,10.300000000000011,6076.1,3706.7000000000003
L,298.8,309.1,1439,39.2,104,No Failure,10.300000000000011,5907.1,4076.8
H,298.9,309.2,1379,50.7,106,No Failure,10.300000000000011,7321.5,5374.200000000001
L,298.8,309.1,1350,52.5,111,No Failure,10.300000000000011,7422.0,5827.5
L,298.8,309.1,1362,45.4,113,No Failure,10.300000000000011,6475.3,5130.2
L,298.8,309.1,1368,50.8,115,No Failure,10.300000000000011,7277.4,5842.0
M,298.8,309.1,1368,49.1,117,No Failure,10.300000000000011,7033.9,5744.7
H,298.8,309.2,1372,48.5,120,No Failure,10.399999999999977,6968.3,5820.0
M,298.8,309.1,1472,47.5,125,No Failure,10.300000000000011,7322.0,5937.5
L,298.8,309.1,1489,49.1,128,No Failure,10.300000000000011,7656.1,6284.8
M,298.7,309.0,1843,25.8,130,No Failure,10.300000000000011,4979.4,3354.0
L,298.8,309.1,1418,46.3,133,No Failure,10.300000000000011,6875.2,6157.9
H,298.8,309.2,1425,53.9,135,No Failure,10.399999999999977,8043.3,7276.5
L,298.9,309.1,1383,54.9,145,No Failure,10.200000000000045,7951.0,7960.5
H,298.8,309.0,1497,43.8,147,No Failure,10.199999999999989,6866.3,6438.599999999999
L,298.7,309.0,1565,35.1,152,No Failure,10.300000000000011,5752.4,5335.2
L,298.8,309.1,1477,42.4,158,No Failure,10.300000000000011,6558.1,6699.2
L,298.8,309.1,1513,40.3,160,No Failure,10.300000000000011,6385.2,6448.0
M,298.8,309.0,1661,29.5,162,No Failure,10.199999999999989,5131.2,4779.0
L,298.8,309.1,1378,54.4,165,No Failure,10.300000000000011,7850.1,8976.0
L,298.8,309.1,1393,52.6,167,No Failure,10.300000000000011,7673.0,8784.2
L,298.8,309.0,1829,22.9,172,No Failure,10.199999999999989,4386.1,3938.7999999999997
L,299.0,309.1,1523,38.6,177,No Failure,10.100000000000023,6156.2,6832.2
L,299.0,309.1,1394,45.1,179,No Failure,10.100000000000023,6583.7,8072.900000000001
M,298.9,308.9,1679,28.7,181,No Failure,10.0,5046.2,5194.7
H,298.8,308.9,1466,44.1,184,No Failure,10.099999999999966,6770.2,8114.400000000001
L,298.8,308.9,1527,32.4,189,No Failure,10.099999999999966,5181.0,6123.599999999999
L,298.9,309.0,1410,65.7,191,Power Failure,10.100000000000023,9700.9,12548.7
L,298.9,309.1,1452,45.5,196,No Failure,10.200000000000045,6918.4,8918.0
L,298.9,309.1,1369,44.4,198,No Failure,10.200000000000045,6365.2,8791.199999999999
L,299.0,309.1,1592,35.0,200,No Failure,10.100000000000023,5835.0,7000.0
L,298.8,308.9,1455,41.3,208,Tool Wear Failure,10.099999999999966,6292.8,8590.4
L,298.8,308.9,1398,51.5,0,No Failure,10.099999999999966,7539.5,0.0
L,298.8,308.9,1402,37.9,2,No Failure,10.099999999999966,5564.4,75.8
H,298.8,308.8,1445,49.9,4,No Failure,10.0,7550.9,199.6
L,298.9,308.9,1450,47.5,9,No Failure,10.0,7212.6,427.5
L,298.9,308.9,1453,40.8,11,No Failure,10.0,6208.0,448.79999999999995
L,299.0,309.0,1469,40.1,13,No Failure,10.0,6168.7,521.3000000000001
H,299.0,309.0,1436,43.9,20,No Failure,10.0,6601.6,878.0
L,299.0,309.0,1544,31.8,25,No Failure,10.0,5141.7,795.0
M,298.9,308.9,1487,39.5,30,No Failure,10.0,6150.9,1185.0
L,298.9,308.9,1830,24.9,35,No Failure,10.0,4771.8,871.5
M,298.9,308.9,1727,27.1,37,No Failure,10.0,4901.1,1002.7
L,299.0,308.9,1622,31.9,42,No Failure,9.899999999999977,5418.4,1339.8
M,299.0,309.0,1351,52.2,44,No Failure,10.0,7385.1,2296.8
M,299.0,309.0,1575,35.3,47,No Failure,10.0,5822.2,1659.1
L,298.9,308.8,1529,32.7,53,No Failure,9.900000000000034,5235.8,1733.1000000000001
L,298.8,308.8,1523,44.4,55,No Failure,10.0,7081.3,2442.0
L,298.8,308.8,1991,20.7,59,No Failure,10.0,4315.9,1221.3
M,298.8,308.8,1441,40.5,63,No Failure,10.0,6111.5,2551.5
L,298.8,308.7,1450,43.4,66,No Failure,9.899999999999977,6590.0,2864.4
L,298.8,308.7,1445,48.5,70,No Failure,9.899999999999977,7339.0,3395.0
M,298.8,308.8,1497,46.8,72,No Failure,10.0,7336.6,3369.6
H,298.9,308.8,1621,32.7,75,No Failure,9.900000000000034,5550.8,2452.5
L,298.9,308.7,1572,34.1,80,No Failure,9.800000000000011,5613.5,2728.0
H,298.7,308.6,1499,43.5,84,No Failure,9.900000000000034,6828.4,3654.0
M,298.8,308.7,1498,39.5,89,No Failure,9.899999999999977,6196.4,3515.5
L,298.8,308.6,1680,29.4,95,No Failure,9.800000000000011,5172.3,2793.0
L,298.9,308.7,1564,34.1,99,No Failure,9.800000000000011,5585.0,3375.9
L,298.8,308.6,1599,33.0,101,No Failure,9.800000000000011,5525.7,3333.0
M,298.8,308.6,1707,28.1,103,No Failure,9.800000000000011,5023.1,2894.3
L,298.7,308.5,1467,40.7,106,No Failure,9.800000000000011,6252.5,4314.200000000001
L,298.9,308.7,1558,41.2,110,No Failure,9.800000000000011,6721.9,4532.0
L,298.9,308.7,1727,29.4,116,No Failure,9.800000000000011,5317.0,3410.3999999999996
L,299.0,308.6,1329,60.5,120,No Failure,9.600000000000023,8419.9,7260.0
L,298.9,308.6,1413,46.5,122,No Failure,9.700000000000045,6880.6,5673.0
L,299.0,308.6,1587,38.6,124,No Failure,9.600000000000023,6414.9,4786.400000000001
L,298.8,308.4,1473,41.1,128,No Failure,9.599999999999966,6339.8,5260.8
L,298.8,308.4,1737,27.7,130,No Failure,9.599999999999966,5038.6,3601.0
M,298.7,308.4,1441,43.2,132,No Failure,9.699999999999989,6518.9,5702.400000000001
L,298.8,308.4,1369,53.0,138,No Failure,9.599999999999966,7598.2,7314.0
M,298.8,308.5,1711,28.5,140,No Failure,9.699999999999989,5106.5,3990.0
H,298.7,308.5,1420,45.7,143,No Failure,9.800000000000011,6795.7,6535.1
L,298.8,308.6,1268,55.8,155,No Failure,9.800000000000011,7409.4,8649.0
L,298.8,308.6,1511,36.1,157,No Failure,9.800000000000011,5712.2,5667.7
H,298.6,308.4,1407,50.5,164,No Failure,9.799999999999955,7440.7,8282.0
M,298.6,308.4,1391,42.4,169,No Failure,9.799999999999955,6176.2,7165.599999999999
L,298.4,308.4,1515,40.1,179,No Failure,10.0,6361.9,7177.900000000001
M,298.3,308.3,1379,48.0,181,No Failure,10.0,6931.6,8688.0
L,298.4,308.3,1422,42.7,186,No Failure,9.900000000000034,6358.5,7942.200000000001
M,298.4,308.2,1584,41.0,191,No Failure,9.800000000000011,6800.9,7831.0
L,298.4,308.2,1850,27.0,194,No Failure,9.800000000000011,5230.8,5238.0
L,298.4,308.2,1528,36.2,196,No Failure,9.800000000000011,5792.4,7095.200000000001
H,298.4,308.2,1987,19.8,198,No Failure,9.800000000000011,4119.9,3920.4
M,298.4,308.1,1495,46.0,203,No Failure,9.700000000000045,7201.6,9338.0
M,298.4,308.2,1499,40.0,211,No Failure,9.800000000000011,6279.0,8440.0
L,298.4,308.2,1471,47.0,214,No Failure,9.800000000000011,7240.0,10058.0
L,298.4,308.2,1282,60.7,216,Overstrain Failure,9.800000000000011,8149.0,13111.2
L,298.3,308.1,1412,52.3,218,Overstrain Failure,9.800000000000011,7733.3,11401.4
L,298.3,308.1,1586,35.5,0,No Failure,9.800000000000011,5896.0,0.0
M,298.4,308.2,1468,43.8,2,No Failure,9.800000000000011,6733.3,87.6
M,298.5,308.3,1440,43.6,5,No Failure,9.800000000000011,6574.7,218.0
L,298.5,308.4,1733,26.0,8,No Failure,9.899999999999977,4718.5,208.0
H,298.4,308.2,1612,32.6,10,No Failure,9.800000000000011,5503.1,326.0
H,298.4,308.3,1458,42.9,15,No Failure,9.900000000000034,6550.0,643.5
L,298.4,308.3,1318,59.1,22,No Failure,9.900000000000034,8157.0,1300.2
L,298.2,308.1,1462,50.8,27,No Failure,9.900000000000034,7777.5,1371.6
